College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
Universidade Catolica Portuguesa,"Lisboa, Portugal",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Portugal
Georgetown University in Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Qatar
Hamad Bin Khalifa University,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Qatar
Northwestern University of Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Qatar
Texas A&M University at Qatar,"Doha, Qatar",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Qatar
National University of Singapore,"Singapore, Singapore",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Singapore
Singapore Management University,"Singapore, Singapore",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Singapore
Singapore University of Technology and Design,"Singapore, Singapore",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Singapore
Yale-NUS College,"Singapore, Singapore",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Singapore
American University of the Caribbean School of Medicine,"Sint Maarten, Sint Maarten (Dutch Part)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Sint Maarten (Dutch Part)
Stellenbosch University,"Stellenbosch, South Africa",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,South Africa
University of Johannesburg,"Johannesburg, South Africa",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,South Africa
Yonsei University,"Seoul, Korea, South (ROK)",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,South Korea
Saint Louis University: Madrid,"Madrid, Spain",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Spain
Esade Business School,"Barcelona, Spain",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Spain
Les Roches International School of Hotel Management Marbella,"Marbella, Spain",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Spain
Toulouse Business School,"Barcelona, Spain",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Spain
U-Tad University Of Technology Arts And Design,"Las Rozas, Spain",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Spain
Birzeit University,"Birzeit, Palestine, State of",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,State of
Stockholm School Of Economics,"Stockholm, Sweden",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Sweden
Ecole Hoteliere de Lausanne,"Lausanne, Switzerland",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Switzerland
Franklin University Switzerland,"Sorengo, Switzerland",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.fus.edu/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.fus.edu/,https://www.fus.edu/,Switzerland
Les Roches International School of Hotel Management,"Bluche, Switzerland",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Switzerland
CMKL University,"Bangkokladkrabang, Thailand",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Thailand
Mahidol International Dental School,"Bangkok, Thailand",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Thailand
Mahidol University International College,"Salaya, Thailand",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Thailand
Abdullah Gul University,"Kayseri, Turkey",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Turkey
Istanbul Medipol University,"Istanbul, Turkey",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Turkey
Koc University,"Istanbul, Turkey",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Turkey
Yeditepe University,"Istanbul, Turkey",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Turkey
American University in Dubai,"Dubai, United Arab Emirates",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,United Arab Emirates
